,0,1,2,3,4
0,104.13892149925232,30.612732768058777,合欢树街,2.6,12.6
1,104.13883030414581,30.612587928771973,合欢树街,2.6,12.6
2,104.13858890533447,30.612325072288513,合欢树街,2.6,12.6
3,104.13849771022797,30.612207055091858,合欢树街,2.6,12.6
4,104.13818120956421,30.611799359321594,合欢树街,2.6,12.6
5,104.13791298866272,30.611343383789062,合欢树街,2.6,12.6
6,104.13730680942535,30.610463619232178,合欢树街,2.6,12.6
7,104.13719415664673,30.610302686691284,合欢树街,2.6,12.6
8,104.13687765598297,30.609776973724365,合欢树街,2.6,12.6
9,104.13680791854858,30.609573125839233,合欢树街,2.6,12.6
10,104.13675963878632,30.60940682888031,合欢树街,2.6,12.6
11,104.13675427436829,30.609331727027893,合欢树街,2.6,12.6
12,104.13675963878632,30.609229803085327,合欢树街,2.6,12.6
13,104.1367381811142,30.608741641044617,合欢树街,2.6,12.6
14,104.13671135902405,30.608607530593872,合欢树街,2.6,12.6
15,104.13666844367981,30.60844123363495,合欢树街,2.6,12.6
16,104.13661479949951,30.608355402946472,合欢树街,2.6,12.6
17,104.13640022277832,30.608044266700745,合欢树街,2.6,12.6
18,104.13631975650787,30.60791015625,合欢树街,2.6,12.6
19,104.13604080677032,30.607518553733826,合欢树街,2.6,12.6
20,104.135622382164,30.60693383216858,合欢树街,2.6,12.6
21,104.13520932197571,30.60640275478363,合欢树街,2.6,12.6
22,104.13515567779541,30.606338381767273,合欢树街,2.6,12.6
23,104.13496792316437,30.60612916946411,合欢树街,2.6,12.6
24,104.1345226764679,30.60567319393158,合欢树街,2.6,12.6
25,104.13390576839447,30.60514211654663,合欢树街,2.6,12.6
26,104.1338038444519,30.605067014694214,合欢树街,2.6,12.6
27,104.13328886032104,30.604712963104248,合欢树街,2.6,12.6
28,104.13311719894409,30.604600310325623,合欢树街,2.6,12.6
29,104.13222670555115,30.604112148284912,合欢树街,2.6,12.6
30,104.13201749324799,30.604020953178406,合欢树街,2.6,12.6
31,104.1314435005188,30.603731274604797,合欢树街,2.6,12.6
32,104.13054764270782,30.603264570236206,合欢树街,2.6,12.6
33,104.1297858953476,30.60289442539215,合欢树街,2.6,12.6
34,104.1295176744461,30.602776408195496,合欢树街,2.6,12.6
35,104.12934601306915,30.602722764015198,合欢树街,2.6,12.6
36,104.12912607192993,30.60267448425293,合欢树街,2.6,12.6
37,104.1290134191513,30.60266375541687,合欢树街,2.6,12.6
38,104.12875592708588,30.60266375541687,合欢树街,2.6,12.6
39,104.12846088409424,30.602712035179138,合欢树街,2.6,12.6
40,104.12841796875,30.602717399597168,合欢树街,2.6,12.6
41,104.12824630737305,30.602776408195496,合欢树街,2.6,12.6
42,104.128058552742,30.602867603302002,合欢树街,2.6,12.6
43,104.12794053554535,30.60293734073639,合欢树街,2.6,12.6
44,104.12753283977509,30.603237748146057,合欢树街,2.6,12.6
45,104.12700176239014,30.60362935066223,合欢树街,2.6,12.6
46,104.12632048130035,30.60417115688324,合欢树街,2.6,12.6
47,104.12593424320221,30.604460835456848,合欢树街,2.6,12.6
48,104.12561774253845,30.60470759868622,合欢树街,2.6,12.6
49,104.12554264068604,30.604771971702576,合欢树街,2.6,12.6
50,104.12515640258789,30.605056285858154,合欢树街,2.6,12.6
51,104.12501156330109,30.605211853981018,合欢树街,2.6,12.6
52,104.12498474121094,30.605297684669495,合欢树街,2.6,12.6
53,103.95553350448608,30.6046324968338,武兴路,2.2,18.7
54,103.95505607128143,30.604997277259827,武兴路,2.2,18.7
55,103.9545464515686,30.605324506759644,武兴路,2.2,18.7
56,103.9545464515686,30.605324506759644,武兴路,2.2,18.7
57,103.95451962947845,30.60537815093994,武兴路,2.2,18.7
58,103.9544928073883,30.60541570186615,武兴路,2.2,18.7
59,103.95407438278198,30.605796575546265,武兴路,2.2,18.7
60,103.95397245883942,30.60590922832489,武兴路,2.2,18.7
61,103.95389199256897,30.606016516685486,武兴路,2.2,18.7
62,103.95381689071655,30.60613989830017,武兴路,2.2,18.7
63,103.95371496677399,30.606327652931213,武兴路,2.2,18.7
64,103.95363986492157,30.606483221054077,武兴路,2.2,18.7
65,103.95358085632324,30.606649518013,武兴路,2.2,18.7
66,103.95352184772491,30.60689091682434,武兴路,2.2,18.7
67,103.95349502563477,30.607073307037354,武兴路,2.2,18.7
68,103.95347356796265,30.607320070266724,武兴路,2.2,18.7
69,103.9534842967987,30.60762047767639,武兴路,2.2,18.7
70,103.9535003900528,30.607749223709106,武兴路,2.2,18.7
71,103.953537940979,30.60787796974182,武兴路,2.2,18.7
72,103.95354866981506,30.60791015625,武兴路,2.2,18.7
73,103.95358085632324,30.607995986938477,武兴路,2.2,18.7
74,103.95370960235596,30.60819983482361,武兴路,2.2,18.7
75,103.95234704017639,30.60815155506134,武兴路,2.2,18.7
76,103.95263671875,30.608280301094055,武兴路,2.2,18.7
77,103.95403146743774,30.60890793800354,武兴路,2.2,18.7
78,103.95538866519928,30.609460473060608,武兴路,2.2,18.7
79,103.95570516586304,30.6096214056015,武兴路,2.2,18.7
80,103.95587682723999,30.609744787216187,武兴路,2.2,18.7
81,103.95645081996918,30.610007643699646,武兴路,2.2,18.7
82,103.95686388015747,30.61020076274872,武兴路,2.2,18.7
83,103.95750761032104,30.610474348068237,武兴路,2.2,18.7
84,103.9577329158783,30.610592365264893,武兴路,2.2,18.7
85,103.95795285701752,30.610726475715637,武兴路,2.2,18.7
86,103.9580225944519,30.610806941986084,武兴路,2.2,18.7
87,103.9582908153534,30.610828399658203,武兴路,2.2,18.7
